ReviewID,Product,Category,Source,Country,Rating,Sentiment,Review,WordCount,CharCount,Topic
R01936,Face Moisturizer,Beauty,Marketplace,United States,2,Negative,I am disappointed with face moisturizer. I have been testing the face moisturizer in normal day-to-day use. performance drops during normal use. I compared the experience with a couple of similar products.,32,205,performance
R06495,Rice Cooker,Appliances,Mobile App,United States,2,Negative,"My experience with rice cooker. The rice cooker was purchased for a specific need. the response becomes slow at inconvenient times. For occasional use it may be different, but this was my experience.",33,199,performance
R01721,Photo Editor,Software,Website,Kenya,5,Positive,I am satisfied with photo editor. I have been testing the photo editor in normal day-to-day use. the materials seem durable. The result may depend on how heavily you use it.,31,173,quality
R09121,Electric Shaver,Beauty,Email Survey,United Kingdom,1,Negative,I have had problems with electric shaver. The electric shaver was purchased for a specific need. the experience fell short of what was promised. I would describe the overall experience this way after trying it for a while.,38,222,expectations
R00361,Team Chat,Software,Website,India,5,Positive,This has been a good purchase; team chat. The team chat was purchased for a specific need. support responded quickly. I compared the experience with a couple of similar products.,30,178,support
R09664,Project Planner,Software,Mobile App,United States,5,Positive,"After several weeks, project planner. I chose the project planner after comparing a few options. the order arrived earlier than expected. I have used it several times before writing this review.",31,194,delivery
R05278,Power Bank,Electronics,Email Survey,Ghana,5,Positive,I was pleasantly surprised by power bank. The power bank was purchased for a specific need. this item delivered what I needed. That is the part I noticed most during everyday use.,32,179,expectations
R08547,Electric Kettle,Appliances,Website,Ghana,2,Negative,I regret choosing electric kettle. The electric kettle was purchased for a specific need. it did not match the description well. I would describe the overall experience this way after trying it for a while.,35,206,expectations
R02222,Team Chat,Software,Website,United Kingdom,2,Neutral,I have been using team chat. The team chat was purchased for a specific need. the materials are okay for the price. There were a few details that influenced my overall impression.,32,179,quality
R04618,Travel Adapter,Accessories,Website,Kenya,2,Negative,I regret choosing travel adapter. I have been testing the travel adapter in normal day-to-day use. I had trouble understanding the invoice. The result may depend on how heavily you use it.,32,188,billing
R03466,Mini Fridge,Appliances,Marketplace,United States,2,Negative,"The main issue with mini fridge. mini fridge has been part of my routine for a while. setup was unnecessarily difficult. For occasional use it may be different, but this was my experience.",33,188,setup
R01409,Travel Adapter,Accessories,Mobile App,Canada,3,Neutral,I have been using travel adapter. The travel adapter was purchased for a specific need. some parts matched the description better than others. I compared the experience with a couple of similar products.,33,203,expectations
R00469,Power Bank,Electronics,Mobile App,India,4,Positive,I was pleasantly surprised by power bank. I have been testing the power bank in normal day-to-day use. I learned the main features quickly. I have used it several times before writing this review.,34,196,usability
R01176,Microwave Oven,Appliances,Marketplace,Canada,3,Neutral,It is an average experience with microwave oven. I chose the microwave oven after comparing a few options. the speed is fine for my normal use. The result may depend on how heavily you use it.,36,192,performance
R05225,Rice Cooker,Appliances,Website,Kenya,5,Positive,"The product has worked well for me; rice cooker. I've been testing the rice cooker in normal day-to-day use. the controls are easy to understand. For occasional use it may be different, but this was my experience.",37,213,usability
R08129,Body Lotion,Beauty,Mobile App,South Africa,2,Negative,The main issue with body lotion. I bought the body lotion for regular use. getting started took much longer than it should have. I am basing this on my experience over the last few weeks.,35,187,setup
R00425,Accounting App,Software,Mobile App,United Kingdom,5,Positive,"After several weeks, accounting app. I've been testing the accounting app in normal day-to-day use. it handles my usual workload well. For occasional use it may be different, but this was my experience.",33,202,performance
R07048,Electric Shaver,Beauty,Marketplace,Nigeria,4,Positive,So far I am happy with electric shaver. The electric shaver was purchased for a specific need. delivery was straightforward. That is the part I noticed most during everyday use.,30,177,delivery
R02484,Smart Watch,Electronics,Mobile App,Canada,5,Positive,So far I am happy with smart watch. I have been testing the smart watch in normal day-to-day use. the payment process was simple. I am basing this on my experience over the last few weeks.,36,188,billing
R01826,Coffee Maker,Home,Email Survey,India,2,Neutral,"It is an average experience with coffee maker. I bought the coffee maker for regular use. the price seems fair, but I would compare alternatives. I have used it several times before writing this review.",35,202,value
R10558,Blender,Home,Mobile App,United Kingdom,2,Negative,"Unfortunately, blender. The blender was purchased for a specific need. I had to repeat the same issue several times. For occasional use it may be different, but this was my experience.",31,184,support
R01484,Bluetooth Speaker,Electronics,Website,United States,5,Positive,"I would gladly use bluetooth speaker. The bluetooth speaker was purchased for a specific need. the interface feels intuitive. For occasional use it may be different, but this was my experience.",31,193,usability
R09291,Photo Editor,Software,Email Survey,United Kingdom,3,Neutral,I am still deciding about photo editor. The photo editor was purchased for a specific need. payment was successful without being especially convenient. That is the part I noticed most during everyday use.,33,204,billing
R09710,Blender,Home,Mobile App,South Africa,3,Neutral,"I have mixed feelings about blender. The blender was purchased for a specific need. some options are helpful while others feel unnecessary. For occasional use it may be different, but this was my experience.",34,207,features
R01651,Wireless Headphones,Electronics,Mobile App,Ghana,5,Positive,I had a smooth experience with wireless headphones. I chose the wireless headphones after comparing a few options. the interface feels intuitive. That is the part I noticed most during everyday use.,32,198,usability
R09787,Electric Kettle,Appliances,Email Survey,Nigeria,5,Positive,"After several weeks, electric kettle. I bought the electric kettle for regular use. the payment process was simple. There were a few details that influenced my overall impression.",28,179,billing
R02814,Hair Dryer,Beauty,Mobile App,South Africa,5,Positive,I am satisfied with hair dryer. I have been testing the hair dryer in normal day-to-day use. support responded quickly. The result may depend on how heavily you use it.,30,168,support
R03705,Project Planner,Software,Website,United Kingdom,2,Negative,My experience with project planner. The project planner was purchased for a specific need. the instructions left out important steps. I would describe the overall experience this way after trying it for a while.,34,211,setup
R06119,Keyboard,Accessories,Mobile App,United States,5,Positive,I am satisfied with keyboard. I bought the keyboard for regular use. the controls are easy to understand. I compared the experience with a couple of similar products.,28,166,usability
R05043,Electric Shaver,Beauty,Email Survey,India,5,Positive,The product has worked well for me; electric shaver. I chose the electric shaver after comparing a few options. it handles my usual workload well. I compared the experience with a couple of similar products.,35,207,performance
R11209,Tablet,Electronics,Website,Nigeria,4,Positive,So far I am happy with tablet. The tablet was purchased for a specific need. the main features are useful. I compared the experience with a couple of similar products.,30,167,features
R07239,Tablet,Electronics,Website,India,2,Negative,"I expected more from tablet. I've been testing the tablet in normal day-to-day use. basic tasks require too many steps. For occasional use it may be different, but this was my experience.",32,187,usability
R11506,Standing Fan,Appliances,Mobile App,Nigeria,1,Negative,I am not satisfied with standing fan. standing fan has been part of my routine for a while. some advertised options are difficult to use. There were a few details that influenced my overall impression.,35,201,features
R11075,Air Fryer,Home,Mobile App,Kenya,4,Positive,"After several weeks, air fryer. The air fryer was purchased for a specific need. it matched what was described. I am basing this on my experience over the last few weeks.",31,170,expectations
R10997,USB Cable,Accessories,Marketplace,South Africa,2,Negative,I am not satisfied with usb cable. usb cable has been part of my routine for a while. the cost is difficult to justify. I compared the experience with a couple of similar products.,34,180,value
R05000,USB Cable,Accessories,Email Survey,Nigeria,3,Neutral,"I am still deciding about usb cable. I bought the usb cable for regular use. it mostly matched the description, with a few differences. That is the part I noticed most during everyday use.",34,188,expectations
R08481,Team Chat,Software,Mobile App,Nigeria,4,Positive,"After several weeks, team chat. I have been testing the team chat in normal day-to-day use. support responded quickly. I would describe the overall experience this way after trying it for a while.",33,196,support
R09268,Body Lotion,Beauty,Website,Kenya,5,Positive,"My experience with body lotion. body lotion has been part of my routine for a while. I learned the main features quickly. For occasional use it may be different, but this was my experience.",34,189,usability
R08399,Air Fryer,Home,Website,United Kingdom,2,Negative,"Unfortunately, air fryer. The air fryer was purchased for a specific need. the delivery process was frustrating. The result may depend on how heavily you use it.",27,161,delivery
R02632,Face Moisturizer,Beauty,Mobile App,South Africa,2,Negative,I expected more from face moisturizer. The face moisturizer was purchased for a specific need. this item feels less durable than expected. I compared the experience with a couple of similar products.,32,199,quality
R03132,Photo Editor,Software,Email Survey,United Kingdom,1,Negative,I expected more from photo editor. I have been testing the photo editor in normal day-to-day use. it did not match the description well. I would describe the overall experience this way after trying it for a while.,38,214,expectations
R09584,Face Moisturizer,Beauty,Mobile App,Kenya,4,Positive,This has been a good purchase; face moisturizer. I've been testing the face moisturizer in normal day-to-day use. the package arrived in good condition. There were a few details that influenced my overall impression.,34,216,delivery
R08219,Standing Fan,Appliances,Website,Canada,5,Positive,I would gladly use standing fan. I bought the standing fan for regular use. the price feels reasonable for what I received. I am basing this on my experience over the last few weeks.,34,182,value
R09277,Vacuum Cleaner,Home,Website,Kenya,5,Positive,"After several weeks, vacuum cleaner. vacuum cleaner has been part of my routine for a while. the interface feels intuitive. I am basing this on my experience over the last few weeks.",32,182,usability
R03814,Face Moisturizer,Beauty,Email Survey,India,2,Neutral,"I have mixed feelings about face moisturizer. I have been testing the face moisturizer in normal day-to-day use. there are useful features, though a few are missing. That is the part I noticed most during everyday use.",37,218,features
R05887,Face Moisturizer,Beauty,Marketplace,United Kingdom,2,Neutral,I've mixed feelings about face moisturizer. face moisturizer has been part of my routine for a while. the response was adequate but slow. There were a few details that influenced my overall impression.,33,201,support
R05083,Desk Lamp,Home,Website,Ghana,1,Negative,The main issue with desk lamp. I bought the desk lamp for regular use. some advertised options are difficult to use. I compared the experience with a couple of similar products.,31,177,features
R11816,Project Planner,Software,Mobile App,Ghana,2,Neutral,I have mixed feelings about project planner. I chose the project planner after comparing a few options. support eventually answered my question. There were a few details that influenced my overall impression.,32,208,support
R08824,Microwave Oven,Appliances,Website,United States,5,Positive,This has been a good purchase; microwave oven. I chose the microwave oven after comparing a few options. the available options cover what I need. I would describe the overall experience this way after trying it for a while.,39,223,features
R01218,Standing Fan,Appliances,Mobile App,South Africa,3,Negative,"Unfortunately, standing fan. standing fan has been part of my routine for a while. the available features do not cover my needs. There were a few details that influenced my overall impression.",32,192,features
R03992,Vacuum Cleaner,Home,Website,Nigeria,5,Positive,So far I am happy with vacuum cleaner. I have been testing the vacuum cleaner in normal day-to-day use. the feature set is practical. The result may depend on how heavily you use it.,34,182,features
R11148,Blender,Home,Email Survey,Canada,4,Positive,This has been a good purchase; blender. The blender was purchased for a specific need. the available options cover what I need. I've used it several times before writing this review.,31,182,features
